aX,aY,aZ,gX,gY,gZ
0.140,-0.042,0.964,4.761,-2.563,1.892
0.132,-0.039,0.957,4.517,-2.319,1.953
0.122,-0.036,0.953,4.700,-2.197,2.258
0.119,-0.034,0.951,5.127,-2.136,2.258
0.116,-0.032,0.950,5.127,-2.014,2.014
0.114,-0.034,0.951,5.676,-1.587,2.075
0.111,-0.034,0.951,5.859,-1.404,2.136
0.114,-0.035,0.948,6.226,-1.343,2.014
0.116,-0.034,0.946,6.104,-1.038,1.770
0.123,-0.035,0.963,6.470,-1.099,1.648
0.134,-0.056,0.996,6.897,-0.793,1.526
0.135,-0.062,0.995,6.470,-0.244,1.770
0.128,-0.056,0.983,5.798,0.000,2.014
0.122,-0.049,0.976,5.005,-0.305,2.258
0.116,-0.038,0.974,4.639,-0.427,2.136
0.113,-0.041,0.959,4.395,-0.732,1.953
0.112,-0.037,0.952,4.517,-0.488,1.892
0.113,-0.034,0.948,4.517,-0.122,1.587
0.115,-0.030,0.940,5.066,-0.061,1.404
0.119,-0.029,0.937,5.371,0.000,1.160
0.130,-0.036,0.956,6.042,-0.061,1.160
0.137,-0.053,0.981,6.836,0.183,1.099
0.136,-0.054,0.979,6.775,0.183,1.404
0.130,-0.051,0.974,5.920,0.122,1.831
0.123,-0.049,0.973,5.981,-0.183,1.709
0.116,-0.045,0.963,5.554,-0.427,1.709
0.113,-0.042,0.953,5.310,-0.366,1.587
0.115,-0.037,0.944,5.493,-0.183,1.587
0.120,-0.034,0.946,5.493,0.000,1.343
0.131,-0.042,0.959,6.042,0.000,0.977
0.137,-0.051,0.969,6.531,0.183,1.038
0.136,-0.050,0.969,6.287,0.122,1.343
0.135,-0.050,0.974,6.470,-0.183,1.343
0.131,-0.053,0.976,6.165,-0.427,1.343
0.123,-0.053,0.972,6.104,-0.488,1.465
2.036,-0.407,0.509,-3.052,55.176,116.333
2.123,-0.421,0.383,5.615,62.683,161.255
2.004,-0.451,0.365,18.616,62.744,204.224
1.748,-0.506,0.382,33.875,53.528,239.258
1.324,-0.550,0.386,46.509,37.659,265.747
0.873,-0.516,0.405,57.251,26.123,284.424
0.406,-0.463,0.534,70.007,15.320,294.983
-0.108,-0.393,0.782,81.848,4.333,297.180
-0.626,-0.355,1.078,90.088,-5.859,290.527
-1.218,-0.278,1.363,91.675,-15.991,272.705
-1.699,-0.276,1.549,83.557,-21.423,244.690
-2.126,-0.258,1.618,72.083,-20.386,209.839
-2.383,-0.254,1.631,56.458,-17.029,167.664
-2.470,-0.257,1.622,39.001,-12.085,118.652
-2.466,-0.223,1.624,24.109,-13.611,68.726
-2.250,-0.135,1.603,8.545,-11.658,16.296
-1.315,-0.134,1.539,-4.150,-2.930,-28.381
-0.624,-0.152,1.291,-10.803,10.986,-50.903
-0.225,-0.094,1.072,-16.052,23.193,-64.514
-0.171,-0.119,1.104,-18.188,22.278,-77.332
-0.201,-0.164,1.096,-22.095,9.460,-92.224
-0.244,-0.238,1.080,-26.550,-3.296,-106.995
-0.308,-0.293,1.081,-29.968,-13.306,-120.483
-0.325,-0.329,1.112,-32.227,-19.226,-131.714
-0.345,-0.328,1.130,-34.729,-21.362,-141.174
-0.355,-0.340,1.091,-37.537,-21.545,-148.926
-0.335,-0.334,1.063,-40.039,-21.484,-157.471
-0.303,-0.320,1.028,-42.236,-20.813,-166.809
-0.234,-0.262,0.960,-43.823,-19.470,-175.659
-0.139,-0.255,0.897,-44.067,-18.066,-183.960
-0.000,-0.240,0.833,-42.603,-16.174,-190.796
0.158,-0.186,0.773,-40.222,-12.451,-193.115
0.309,-0.159,0.750,-36.926,-9.705,-192.078
0.467,-0.171,0.759,-32.715,-8.118,-189.209
0.634,-0.158,0.747,-29.602,-5.920,-183.167
0.773,-0.107,0.681,-26.550,-3.845,-172.363
0.911,-0.088,0.663,-22.400,-2.563,-159.363
1.009,-0.124,0.692,-16.968,-1.770,-144.958
1.139,-0.078,0.677,-12.634,0.305,-127.441
1.253,-0.042,0.657,-8.545,3.357,-107.239
1.311,-0.052,0.667,-3.235,4.822,-85.754
1.339,-0.034,0.670,1.770,4.761,-62.683
1.315,-0.030,0.636,6.592,5.127,-38.940
1.235,-0.012,0.640,12.207,4.028,-16.724
1.025,-0.016,0.708,18.555,1.343,2.502
0.611,-0.018,0.835,24.048,-5.310,17.517
0.214,-0.029,0.993,27.283,-13.916,22.766
-0.059,-0.071,1.106,27.771,-18.188,21.729
-0.214,-0.080,1.120,25.085,-18.433,18.494
-0.279,-0.078,1.106,21.301,-15.991,13.855
-0.280,-0.078,1.114,18.433,-12.451,9.216
-0.225,-0.086,1.117,16.602,-7.568,5.066
-0.124,-0.083,1.087,13.977,-3.052,0.916
0.021,-0.069,1.032,11.719,0.671,-2.258
0.167,-0.058,0.975,10.254,3.357,-3.723
0.264,-0.053,0.944,9.583,3.418,-3.113
0.298,-0.050,0.927,8.972,1.648,-0.854
0.278,-0.048,0.936,8.911,-1.038,1.160
0.232,-0.043,0.969,9.094,-3.296,2.136
0.169,-0.062,0.984,9.644,-4.944,2.930
0.118,-0.060,1.000,9.094,-5.798,2.869
0.084,-0.067,1.013,8.728,-5.859,2.747
0.074,-0.066,1.006,8.545,-5.493,2.563
0.082,-0.062,0.993,7.812,-5.066,2.136
0.097,-0.063,0.992,7.202,-4.639,1.709
0.115,-0.060,0.980,6.958,-4.395,1.526
0.126,-0.052,0.964,6.226,-4.028,1.526
0.130,-0.046,0.954,6.104,-4.150,1.587
0.130,-0.049,0.964,6.409,-4.150,1.648
0.129,-0.058,0.974,6.226,-3.967,1.526
0.121,-0.057,0.969,6.104,-3.723,1.892
0.107,-0.052,0.964,5.676,-3.479,2.319
0.094,-0.048,0.961,5.554,-3.235,2.319
0.089,-0.043,0.952,5.859,-2.991,2.136
0.094,-0.043,0.957,6.165,-2.808,2.014
0.110,-0.057,0.983,6.958,-2.380,1.648
0.121,-0.067,0.988,7.141,-2.014,1.648
0.124,-0.064,0.977,6.653,-1.831,1.770
0.121,-0.060,0.973,6.104,-2.075,1.953
0.113,-0.056,0.967,5.737,-2.441,2.075
0.105,-0.050,0.953,5.615,-2.563,2.014
0.098,-0.043,0.940,5.554,-2.502,1.892
0.095,-0.037,0.932,5.737,-2.258,1.648
0.093,-0.035,0.928,6.348,-2.136,1.343
0.092,-0.029,0.935,7.141,-1.831,1.282
0.099,-0.038,0.937,8.118,-1.526,1.160
0.110,-0.048,0.947,9.033,-1.099,0.916
0.122,-0.054,0.972,9.460,-0.854,0.916
0.130,-0.078,1.001,9.888,-0.732,1.038
0.125,-0.087,1.010,9.521,-0.122,1.526
0.113,-0.086,1.009,8.606,-0.122,1.953
0.103,-0.082,1.001,7.629,-0.427,2.014
0.098,-0.075,0.991,6.592,-0.854,1.953
0.097,-0.067,0.980,5.798,-0.732,1.709
0.102,-0.066,0.980,5.371,-0.244,1.587
0.106,-0.065,0.973,5.005,0.244,1.404
0.111,-0.063,0.970,5.005,0.488,1.160
0.119,-0.067,0.974,4.822,0.732,1.099
0.121,-0.065,0.967,4.578,0.916,1.160
0.119,-0.060,0.961,4.578,0.793,1.404
0.116,-0.059,0.959,4.578,0.732,1.465
0.112,-0.056,0.954,4.822,0.549,1.526
0.112,-0.055,0.954,5.127,0.610,1.648
0.115,-0.060,0.963,5.676,0.427,1.587
0.117,-0.063,0.968,5.859,0.549,1.587
0.119,-0.065,0.970,5.859,0.366,1.648
0.120,-0.066,0.972,5.737,-0.244,1.709
0.120,-0.066,0.969,5.615,-0.427,1.709
0.117,-0.067,0.971,5.493,-0.549,1.770
0.116,-0.070,0.980,5.371,-0.488,1.831
0.113,-0.073,0.982,5.188,-0.244,1.709
0.112,-0.070,0.976,4.700,-0.183,1.770
0.110,-0.066,0.970,4.578,-0.122,1.831
0.111,-0.063,0.963,4.211,-0.061,1.770
0.114,-0.061,0.958,4.456,-0.305,1.709
0.117,-0.058,0.957,4.517,-0.183,1.526
0.120,-0.062,0.964,4.761,-0.244,1.526
0.119,-0.065,0.966,4.761,-0.366,1.526
0.119,-0.065,0.964,4.822,-0.549,1.648
1.477,-0.515,1.057,19.287,42.542,127.014
1.347,-0.544,0.999,18.921,45.166,158.997
1.177,-0.526,0.908,17.578,43.823,185.425
0.929,-0.454,0.796,19.043,40.710,206.543
0.750,-0.455,0.758,23.315,36.133,222.778
0.450,-0.419,0.786,30.518,31.128,234.497
0.171,-0.411,0.816,36.072,27.893,240.540
-0.159,-0.339,0.866,40.100,22.949,240.112
-0.459,-0.241,0.920,42.297,14.221,231.201
-0.739,-0.129,1.013,42.358,3.784,214.539
-0.974,-0.066,1.096,40.894,-4.639,192.017
-1.198,-0.028,1.177,37.292,-10.681,165.222
-1.373,0.017,1.268,32.471,-13.306,135.803
-1.462,-0.020,1.345,25.879,-12.451,103.821
-1.471,-0.017,1.322,17.029,-9.949,71.411
-1.464,-0.034,1.333,10.010,-9.521,40.771
-1.321,-0.032,1.312,2.869,-7.751,9.644
-0.803,-0.015,1.214,-4.089,-2.625,-17.700
-0.227,-0.018,1.013,-7.568,5.981,-33.447
0.103,0.001,0.856,-8.606,8.118,-39.734
0.269,-0.001,0.794,-6.958,11.353,-41.321
0.289,-0.020,0.808,-3.967,5.798,-41.443
0.270,-0.039,0.851,-2.075,-1.953,-42.969
0.224,-0.068,0.946,-1.099,-9.949,-46.753
0.184,-0.123,1.030,-0.671,-15.930,-49.561
0.118,-0.139,1.069,-1.587,-18.250,-49.927
0.064,-0.144,1.082,-3.235,-17.944,-48.828
-0.005,-0.136,1.072,-4.517,-15.869,-47.363
-0.114,-0.129,1.069,-6.165,-14.893,-48.706
-0.215,-0.110,1.047,-8.423,-14.160,-53.284
-0.276,-0.095,1.038,-10.132,-13.672,-59.143
-0.319,-0.086,1.021,-11.780,-13.000,-67.627
-0.333,-0.094,0.971,-12.878,-12.085,-76.233
-0.344,-0.069,0.975,-13.672,-11.414,-85.571
-0.289,-0.072,0.965,-13.794,-9.766,-95.276
-0.204,-0.071,0.913,-13.794,-8.057,-103.699
-0.117,-0.085,0.912,-12.512,-6.714,-111.389
0.027,-0.104,0.922,-11.780,-5.127,-117.493
0.154,-0.100,0.895,-11.719,-2.625,-119.324
0.279,-0.119,0.854,-11.047,-1.221,-118.652
0.377,-0.120,0.903,-9.644,-0.671,-116.150
0.536,-0.090,0.900,-8.911,0.122,-111.877
0.643,-0.105,0.827,-8.240,0.427,-104.614
0.698,-0.087,0.833,-6.165,-1.282,-94.788
0.786,-0.114,0.847,-4.028,-1.465,-84.839
0.832,-0.092,0.818,-2.808,-1.282,-72.510
0.871,-0.063,0.806,-0.488,-1.282,-57.190
0.876,-0.074,0.811,2.319,-2.014,-41.870
0.835,-0.050,0.820,5.615,-2.380,-27.527
0.797,-0.045,0.795,7.996,-1.770,-13.000
0.670,-0.028,0.800,10.986,-1.831,-0.305
0.405,-0.027,0.856,14.221,-3.967,9.155
0.115,-0.028,0.925,16.479,-7.812,13.184
-0.084,-0.031,0.976,17.273,-11.047,12.512
-0.166,-0.045,1.018,17.395,-11.963,8.789
-0.146,-0.068,1.040,16.907,-10.132,4.150
-0.063,-0.079,1.027,16.113,-6.775,0.488
0.049,-0.082,1.017,14.893,-2.930,-1.099
0.157,-0.107,1.025,14.099,0.305,-1.587
0.217,-0.107,1.021,13.000,2.258,-1.099
0.226,-0.103,1.001,11.353,2.380,-0.122
0.209,-0.099,1.009,9.705,0.122,0.854
0.169,-0.102,1.021,8.545,-2.747,1.587
0.130,-0.094,1.014,7.202,-4.639,1.953
0.103,-0.088,1.012,6.042,-5.493,1.587
0.092,-0.086,1.006,5.554,-5.188,1.221
0.087,-0.076,0.985,5.005,-4.639,1.099
0.088,-0.065,0.961,4.822,-3.906,1.038
0.099,-0.059,0.949,4.822,-3.296,1.221
0.113,-0.054,0.935,5.066,-3.235,1.160
0.128,-0.049,0.922,5.371,-3.296,0.977
0.136,-0.047,0.923,6.042,-3.479,0.977
0.136,-0.049,0.922,7.019,-3.662,1.221
0.130,-0.052,0.931,7.690,-3.723,1.160
0.120,-0.058,0.948,8.423,-4.028,1.038
0.114,-0.070,0.963,8.789,-3.967,0.916
0.107,-0.075,0.969,8.911,-4.028,0.977
0.101,-0.075,0.974,8.789,-4.028,1.099
0.105,-0.084,0.999,8.606,-3.906,1.099
0.115,-0.102,1.015,8.179,-3.174,0.977
0.113,-0.101,1.009,7.324,-2.502,1.282
0.108,-0.094,1.000,6.409,-2.197,1.709
0.105,-0.089,0.997,5.676,-2.380,1.892
0.106,-0.085,0.988,5.127,-2.441,1.892
0.107,-0.080,0.975,4.700,-2.502,1.770
0.109,-0.073,0.964,4.211,-2.380,1.709
0.107,-0.067,0.954,4.089,-2.258,1.709
0.105,-0.065,0.948,4.395,-2.258,1.465
0.108,-0.068,0.957,4.700,-2.136,1.160
