1.312,-0.683,0.490,41.138,16.907,242.798
0.940,-0.692,0.514,52.612,17.273,266.663
0.481,-0.742,0.552,62.378,16.174,283.447
-0.004,-0.644,0.628,70.129,13.794,290.161
-0.445,-0.583,0.865,76.660,6.226,284.790
-0.860,-0.533,1.184,78.125,-1.526,267.090
-1.268,-0.450,1.406,71.594,-7.202,240.479
-1.626,-0.327,1.573,59.875,-11.780,206.665
-1.900,-0.294,1.664,47.058,-14.465,165.894
-2.081,-0.221,1.701,31.799,-13.062,120.178
-2.119,-0.193,1.678,16.235,-8.789,70.618
-2.040,-0.160,1.575,2.502,-4.395,22.583
-1.470,-0.135,1.449,-6.958,1.038,-18.555
-0.840,-0.164,1.187,-14.404,10.437,-47.119
-0.515,-0.175,1.077,-23.376,13.367,-72.021
-0.420,-0.230,1.106,-27.893,10.620,-90.820
-0.462,-0.351,1.140,-33.020,2.563,-110.901
-0.475,-0.475,1.149,-39.978,-6.897,-133.057
-0.478,-0.600,1.146,-46.448,-15.381,-155.090
-0.413,-0.659,1.115,-53.223,-17.822,-174.377
-0.308,-0.629,1.052,-58.411,-14.954,-188.538
-0.220,-0.578,0.969,-61.035,-11.841,-198.486
-0.183,-0.505,0.833,-61.829,-9.338,-206.787
-0.043,-0.430,0.727,-60.059,-6.653,-214.172
0.123,-0.424,0.642,-55.786,-4.456,-219.482
0.310,-0.356,0.581,-50.720,-2.563,-221.558
0.531,-0.275,0.580,-43.762,-0.305,-218.506
0.778,-0.217,0.591,-36.743,4.150,-210.693
0.996,-0.215,0.619,-30.334,8.301,-198.242
1.220,-0.180,0.584,-25.024,12.817,-181.213
1.440,-0.181,0.597,-19.470,15.625,-160.767
1.630,-0.214,0.620,-12.817,17.761,-136.353
1.788,-0.206,0.629,-6.653,17.944,-108.032
1.850,-0.190,0.620,-0.732,16.663,-75.989
1.806,-0.179,0.583,5.737,13.977,-42.236
1.576,-0.184,0.599,13.428,9.766,-11.169
0.964,-0.184,0.783,19.592,0.122,10.803
0.364,-0.217,1.028,22.705,-12.512,19.714
-0.014,-0.215,1.106,21.484,-18.311,21.912
-0.180,-0.198,1.089,18.494,-17.822,19.409
-0.197,-0.201,1.065,16.113,-13.489,14.954
-0.146,-0.193,1.023,14.526,-7.874,10.376
-0.043,-0.181,0.964,12.634,-3.784,6.409
0.072,-0.144,0.945,11.108,-1.770,2.747
0.214,-0.155,0.924,10.742,-0.244,-0.244
0.315,-0.163,0.903,10.681,0.183,-1.343
0.350,-0.165,0.897,10.986,-1.221,-1.160
0.331,-0.179,0.937,11.536,-3.540,-0.427
0.288,-0.207,0.992,11.719,-5.554,0.183
0.232,-0.225,1.020,10.986,-6.897,0.977
0.186,-0.224,1.033,9.338,-7.385,2.136
0.161,-0.215,1.024,8.057,-6.470,3.235
0.151,-0.211,1.004,6.897,-4.761,3.906
0.149,-0.196,0.983,5.859,-3.296,4.211
0.158,-0.180,0.959,5.188,-2.197,4.211
0.173,-0.170,0.938,4.883,-1.404,3.540
0.191,-0.162,0.925,4.822,-1.160,2.563
0.209,-0.166,0.925,4.944,-1.343,1.648
0.218,-0.170,0.926,4.944,-1.953,0.916
0.222,-0.171,0.931,4.700,-2.808,0.549
0.225,-0.175,0.935,4.517,-3.357,0.305
0.223,-0.175,0.931,4.395,-3.418,0.610
0.219,-0.170,0.926,4.333,-3.540,0.977
0.220,-0.172,0.943,4.700,-3.601,1.465
0.222,-0.182,0.954,5.310,-3.357,1.953
0.214,-0.184,0.949,5.432,-3.113,2.808
0.203,-0.180,0.946,5.493,-2.808,3.601
0.195,-0.175,0.942,5.493,-2.502,3.845
0.189,-0.170,0.932,5.432,-2.136,3.845
0.187,-0.168,0.926,5.737,-2.075,3.418
0.188,-0.168,0.927,5.920,-2.136,3.296
0.188,-0.167,0.928,5.859,-2.258,2.991
0.194,-0.171,0.933,5.737,-2.075,2.625
0.194,-0.172,0.931,5.737,-2.136,2.319
0.194,-0.170,0.931,5.615,-2.502,2.319
0.198,-0.175,0.944,5.737,-2.563,2.380
0.199,-0.182,0.947,5.981,-2.441,2.197
0.196,-0.179,0.941,5.737,-2.136,2.197
0.189,-0.172,0.933,5.554,-2.075,2.319
0.181,-0.166,0.925,5.859,-1.831,2.380
0.172,-0.163,0.922,6.165,-1.587,2.197
0.172,-0.166,0.924,6.592,-1.465,1.892
0.174,-0.165,0.924,7.141,-1.343,1.648
0.182,-0.171,0.936,7.568,-1.038,1.343
0.193,-0.184,0.949,7.751,-0.977,1.099
0.187,-0.204,0.946,7.507,-0.732,1.038
0.193,-0.183,0.955,7.141,-1.160,1.099
0.199,-0.189,0.952,6.897,-1.404,0.732
0.195,-0.184,0.943,6.226,-0.977,0.793
0.191,-0.180,0.943,5.798,-1.099,0.916
0.194,-0.185,0.952,5.737,-1.038,0.793
0.195,-0.190,0.951,5.737,-0.793,0.793
0.197,-0.188,0.951,5.432,-0.488,0.916
0.196,-0.185,0.945,5.188,-0.488,1.160
0.195,-0.179,0.934,5.066,-0.366,1.221
0.198,-0.178,0.935,5.005,-0.488,1.221
0.198,-0.179,0.935,5.188,-0.488,1.343
0.198,-0.180,0.941,5.310,-0.610,1.160
0.200,-0.190,0.958,5.249,-0.916,1.221
0.197,-0.191,0.952,5.127,-0.732,1.282
0.193,-0.184,0.944,4.578,-0.427,1.343
0.196,-0.187,0.953,4.395,-0.366,1.099
0.192,-0.186,0.943,4.395,0.000,1.221
0.194,-0.180,0.936,3.723,0.244,1.221
0.195,-0.176,0.935,3.845,0.122,1.221
0.194,-0.176,0.931,4.028,0.366,1.221
0.196,-0.177,0.933,4.333,0.122,1.099
0.200,-0.182,0.943,4.700,0.061,1.343
0.197,-0.183,0.940,4.517,0.000,1.465
0.194,-0.180,0.938,4.395,0.000,1.587
0.196,-0.179,0.938,4.456,-0.183,1.404
0.197,-0.179,0.937,4.333,-0.122,1.404
0.198,-0.181,0.940,4.395,-0.183,1.404
0.199,-0.181,0.939,4.395,-0.244,1.282
0.196,-0.181,0.936,4.272,-0.122,1.343
1.569,-0.418,0.757,2.319,15.930,84.778
1.561,-0.345,0.571,4.333,15.564,116.577
1.471,-0.291,0.431,10.315,13.123,145.508
1.349,-0.242,0.318,21.057,9.949,172.363
1.133,-0.269,0.318,34.363,6.409,195.984
0.854,-0.314,0.449,49.744,4.395,215.210
0.473,-0.445,0.612,61.829,2.502,228.394
0.041,-0.477,0.837,67.688,-0.488,233.032
-0.294,-0.525,1.004,69.397,-4.028,228.516
-0.578,-0.488,1.137,67.200,-7.629,217.407
-0.848,-0.450,1.223,61.646,-8.301,201.233
-1.021,-0.417,1.300,55.359,-4.761,181.274
-1.202,-0.394,1.360,47.607,-2.380,157.349
-1.287,-0.357,1.461,38.513,-1.282,128.296
-1.362,-0.306,1.517,27.710,0.183,96.069
-1.348,-0.251,1.477,16.113,0.977,62.378
