aX,aY,aZ,gX,gY,gZ
-0.028,-0.234,0.949,4.089,-27.039,-36.682
-0.162,-0.092,0.988,6.897,-23.437,-3.723
-0.262,-0.149,1.038,8.545,-12.817,-2.991
-0.212,-0.172,1.052,10.254,-6.592,6.958
-0.133,-0.175,1.044,13.123,-0.305,22.034
-0.067,-0.132,1.006,12.817,6.409,33.630
0.015,-0.097,0.987,10.254,9.033,32.898
0.065,-0.065,0.977,6.042,7.629,22.766
0.093,-0.071,0.956,3.296,4.578,11.230
0.080,-0.057,0.937,2.014,2.258,3.845
0.087,-0.063,0.940,2.625,0.610,0.244
0.069,-0.077,0.959,4.333,0.488,-0.366
0.043,-0.087,0.964,5.798,0.854,0.305
0.013,-0.084,0.956,6.287,0.671,0.549
-0.027,-0.079,0.966,6.165,-0.610,-1.770
-0.048,-0.088,0.975,5.676,-0.977,-5.676
-0.049,-0.096,0.967,5.066,-0.732,-9.521
-0.037,-0.109,0.964,4.639,-0.549,-11.169
-0.018,-0.119,0.975,4.333,-0.061,-9.949
0.001,-0.116,0.990,4.944,1.343,-6.042
0.017,-0.114,0.994,5.798,2.869,-0.977
0.031,-0.114,0.986,5.981,3.845,3.479
0.038,-0.113,0.978,5.859,3.723,5.981
0.029,-0.100,0.981,5.371,3.113,7.507
0.020,-0.100,0.980,4.761,2.991,6.897
0.015,-0.098,0.973,4.333,2.991,6.348
0.003,-0.098,0.975,4.395,2.502,5.249
-0.003,-0.091,0.974,4.517,2.075,4.211
0.001,-0.088,0.972,4.578,1.892,2.380
0.008,-0.096,0.980,4.700,1.953,0.366
0.014,-0.103,0.983,4.395,2.319,-0.977
0.017,-0.097,0.971,4.272,2.625,-1.526
0.015,-0.091,0.961,3.906,2.686,-1.709
0.016,-0.087,0.960,4.395,2.136,-2.014
0.026,-0.095,0.967,4.700,1.709,-2.197
0.032,-0.104,0.981,4.944,1.526,-1.587
0.031,-0.108,0.981,4.761,1.465,-0.488
0.023,-0.102,0.971,4.395,1.404,0.732
0.011,-0.097,0.969,4.089,1.099,1.282
0.005,-0.094,0.968,4.395,0.610,1.526
0.006,-0.095,0.966,4.456,0.671,1.770
0.021,-0.100,0.974,4.883,0.793,1.709
0.027,-0.100,0.983,5.005,1.099,1.709
0.031,-0.096,0.973,5.066,1.282,1.709
0.029,-0.095,0.969,4.761,1.221,1.343
0.029,-0.093,0.966,4.822,0.916,0.793
0.028,-0.092,0.958,4.944,0.549,0.366
0.027,-0.089,0.959,5.188,0.061,0.244
0.027,-0.100,0.981,5.676,-0.061,0.000
0.024,-0.112,0.992,5.676,0.305,0.305
0.019,-0.108,0.979,5.066,0.427,0.916
0.014,-0.103,0.978,4.517,0.000,1.099
0.016,-0.102,0.979,4.578,-0.183,1.099
0.023,-0.101,0.981,4.761,-0.183,1.526
0.028,-0.106,0.983,4.822,0.305,1.953
0.026,-0.102,0.975,4.578,0.305,2.197
0.022,-0.096,0.970,4.456,0.122,2.197
0.018,-0.097,0.973,4.456,-0.305,1.831
0.017,-0.099,0.970,4.395,-0.366,1.526
0.016,-0.098,0.969,4.517,-0.244,1.343
0.016,-0.098,0.973,4.822,-0.183,1.160
-1.803,-0.511,1.205,-15.747,-26.306,-80.261
-2.144,-0.588,1.204,-9.155,-20.813,-102.051
-2.159,-0.783,1.103,-9.277,-8.606,-134.033
-2.158,-0.770,1.011,-14.832,-1.953,-169.617
-1.696,-0.916,0.879,-19.348,7.690,-206.055
-1.346,-0.805,0.892,-21.362,10.620,-248.779
-0.817,-0.799,0.825,-23.437,15.991,-281.677
-0.320,-0.709,0.829,-25.330,21.362,-305.176
0.134,-0.611,0.811,-26.794,23.682,-317.932
0.528,-0.506,0.745,-27.832,26.367,-319.214
1.032,-0.395,0.799,-28.687,27.222,-311.462
1.443,-0.391,0.802,-24.292,21.912,-296.509
1.934,-0.282,0.604,-24.475,15.076,-272.339
2.348,-0.161,0.489,-24.719,4.211,-237.122
2.535,0.015,0.625,-24.292,-4.883,-193.848
2.723,0.044,0.624,-14.771,-0.854,-145.996
2.647,0.046,0.742,-5.554,5.249,-98.267
2.573,-0.038,0.578,4.456,14.893,-56.580
2.036,-0.026,0.821,12.329,-0.854,-17.212
1.214,-0.087,1.074,17.761,-17.456,5.066
0.615,-0.131,1.190,20.203,-27.527,12.573
0.311,-0.186,1.101,21.606,-23.315,25.940
0.075,-0.234,1.084,24.780,-11.658,56.458
-0.025,-0.243,1.124,30.823,2.014,94.482
-0.113,-0.384,1.123,37.109,14.954,127.319
-0.165,-0.274,1.117,37.292,26.123,162.781
0.008,-0.239,1.104,32.410,24.841,177.612
0.101,-0.163,1.112,29.480,13.367,172.852
0.307,-0.151,1.003,28.076,20.569,147.949
0.440,-0.169,0.961,17.029,19.226,119.812
0.575,-0.160,0.932,6.165,0.000,105.408
0.735,-0.141,0.876,2.991,-5.615,105.408
0.840,-0.169,0.859,4.395,-5.859,115.479
0.882,-0.219,0.837,9.644,-0.854,133.301
0.844,-0.281,0.823,16.541,3.235,158.020
0.786,-0.304,0.785,22.400,9.216,186.829
0.719,-0.304,0.759,25.024,7.263,209.290
0.593,-0.323,0.780,25.696,-3.540,219.727
0.433,-0.291,0.806,23.621,-15.808,220.886
0.260,-0.362,0.850,21.851,-23.865,213.074
0.069,-0.437,0.933,19.165,-25.879,199.158
-0.238,-0.451,0.900,15.930,-21.362,184.998
-0.513,-0.398,0.843,14.099,-26.489,180.176
-0.746,-0.501,1.014,10.864,-33.813,170.532
-1.045,-0.324,1.012,10.376,-28.137,174.438
-1.223,-0.420,1.106,10.437,-30.579,168.823
-1.273,-0.314,1.076,11.963,-21.790,165.100
-1.259,-0.363,1.046,12.390,-13.000,158.813
-1.253,-0.324,1.033,11.536,-9.460,141.785
-1.277,-0.268,1.065,5.859,-11.536,108.276
-1.237,-0.243,1.103,3.174,-12.695,70.679
-1.143,-0.206,1.145,2.563,-11.047,36.621
-0.932,-0.181,1.149,2.747,-5.859,6.287
-0.516,-0.148,1.136,2.563,2.014,-13.977
-0.064,-0.110,1.058,3.357,13.245,-23.682
0.225,-0.082,0.965,5.493,21.667,-22.827
0.356,-0.011,0.877,7.019,23.437,-16.174
0.470,-0.021,0.858,7.446,16.724,-17.029
0.407,0.063,0.853,6.287,8.179,-20.264
0.306,0.129,0.781,3.906,-2.869,-32.104
0.271,-0.226,0.891,5.066,-17.761,-53.650
0.050,-0.092,0.963,3.479,-24.780,-43.030
-0.105,-0.095,0.971,5.676,-22.522,-19.653
-0.204,-0.126,0.999,6.714,-19.409,-14.160
-0.264,-0.130,1.020,6.714,-15.015,-10.803
-0.271,-0.160,1.040,9.399,-7.629,-0.793
-0.167,-0.197,1.025,16.541,-0.488,22.400
-0.130,-0.115,1.005,20.020,7.690,46.021
0.015,-0.127,0.979,18.127,11.414,48.645
0.014,-0.015,1.009,11.292,10.620,36.560
0.108,-0.086,0.972,4.883,8.545,15.747
0.129,-0.073,0.980,2.380,5.737,3.479
0.118,-0.068,0.967,2.075,3.113,0.732
0.098,-0.078,0.969,2.502,1.038,-2.014
0.045,-0.080,0.965,3.540,0.977,-1.831
0.007,-0.080,0.956,5.310,1.587,-0.854
-0.034,-0.076,0.965,6.104,1.892,-1.465
-0.052,-0.083,0.971,6.104,1.404,-5.188
-0.065,-0.072,0.979,5.127,0.977,-10.559
-0.043,-0.110,0.970,3.906,0.916,-16.418
-0.044,-0.101,0.969,3.296,1.770,-15.686
-0.019,-0.113,0.961,3.662,2.869,-12.268
-0.011,-0.101,0.965,4.822,4.089,-6.042
0.012,-0.100,0.970,6.409,5.127,-0.916
0.039,-0.105,0.967,7.019,5.188,2.441
0.058,-0.099,0.958,6.714,4.944,4.822
0.061,-0.088,0.967,6.714,4.395,6.531
0.067,-0.095,0.971,6.775,4.517,6.897
0.060,-0.097,0.974,6.775,4.272,6.653
0.044,-0.088,0.972,6.470,2.930,5.249
0.031,-0.091,0.980,5.920,1.831,3.174
0.023,-0.100,0.988,5.676,1.709,0.916
0.016,-0.102,0.985,5.371,2.014,-0.427
0.011,-0.098,0.978,5.310,2.319,-0.977
0.013,-0.097,0.978,5.127,2.380,-1.526
0.027,-0.101,0.982,5.310,2.075,-2.258
0.050,-0.103,0.969,5.005,1.282,-2.686
0.067,-0.097,0.964,5.005,0.732,-1.648
0.067,-0.095,0.959,5.188,0.183,-0.183
0.055,-0.091,0.958,5.615,-0.305,1.892
0.034,-0.094,0.966,5.737,-0.793,3.296
0.007,-0.101,0.976,5.981,-1.160,3.906
-0.010,-0.104,0.982,6.042,-1.709,3.967
-0.011,-0.109,0.993,5.981,-1.709,3.723
0.000,-0.111,0.992,5.920,-1.221,3.296
0.010,-0.101,0.982,5.554,-0.549,3.113
0.016,-0.093,0.966,5.249,0.122,2.747
0.019,-0.088,0.959,5.432,0.244,1.648
0.021,-0.091,0.961,5.615,0.122,0.732
0.024,-0.095,0.965,5.920,-0.122,0.427
0.025,-0.096,0.964,5.859,-0.183,0.427
0.022,-0.095,0.965,6.104,-0.488,0.427
0.021,-0.098,0.969,6.042,-0.732,0.427
0.021,-0.104,0.975,6.165,-0.916,0.549
0.021,-0.110,0.983,6.287,-0.977,1.465
0.029,-0.110,0.988,6.287,-1.221,2.258
0.031,-0.106,0.979,5.981,-1.099,2.808
0.028,-0.101,0.974,5.920,-1.465,2.991
0.016,-0.104,0.980,5.432,-1.648,2.808
-1.509,-0.509,1.153,-15.747,-55.481,-82.031
-1.798,-0.806,1.142,-20.996,-45.044,-122.375
-1.842,-0.632,1.033,-12.817,-18.860,-125.671
-1.792,-0.743,1.000,-16.602,-16.968,-157.593
-1.517,-0.909,0.884,-21.362,-6.592,-195.923
-1.458,-0.603,0.843,-23.437,2.319,-212.646
-1.027,-0.771,0.726,-22.461,12.817,-236.389
-0.744,-0.593,0.804,-20.569,18.433,-259.155
-0.357,-0.537,0.772,-19.958,24.902,-278.381
0.045,-0.518,0.691,-20.447,29.541,-289.246
0.441,-0.426,0.640,-21.301,32.410,-290.466
0.856,-0.352,0.761,-19.653,30.151,-284.607
